Date,Open,High,Low,Close,Adj Close,Volume
2022-09-30,141.279999,143.100006,138.000000,138.199997,137.029358,124925300
2022-10-03,138.210007,143.070007,137.690002,142.449997,141.243378,114311700
2022-10-04,145.029999,146.220001,144.259995,146.100006,144.862457,87830100
2022-10-05,144.070007,147.380005,143.009995,146.399994,145.159897,79471000
2022-10-06,145.809998,147.539993,145.220001,145.429993,144.198105,68402200
2022-10-07,142.539993,143.100006,139.449997,140.089996,138.903351,85925600
2022-10-10,140.419998,141.889999,138.570007,140.419998,139.230560,74899000
2022-10-11,139.899994,141.350006,138.220001,138.979996,137.802750,77033700
2022-10-12,139.130005,140.360001,138.160004,138.339996,137.168182,70433700
2022-10-13,134.990005,143.589996,134.369995,142.990005,141.778809,113224000
2022-10-14,144.309998,144.520004,138.190002,138.380005,137.207840,88598000
2022-10-17,141.070007,142.899994,140.270004,142.410004,141.203705,85250900
2022-10-18,145.490005,146.699997,140.610001,143.750000,142.532364,99136600
2022-10-19,141.690002,144.949997,141.500000,143.860001,142.641418,61758300
2022-10-20,143.020004,145.889999,142.649994,143.389999,142.175400,64522000
2022-10-21,142.869995,147.850006,142.649994,147.270004,146.022537,86548600
2022-10-24,147.190002,150.229996,146.000000,149.449997,148.184082,75981900
